Merkmal;Erststimmen_Anzahl;Erststimmen_%;;Zweitstimmen_Anzahl;Zweitstimmen_%;;
;;Diff_zu_2021_in_%P; ; ;Diff_zu_2021_in_%P;
Wahlberechtigte;60.510.631;-;-;60.510.631;-;-
Wählende;49.928.653;82,5;+6,2;49.928.653;82,5;+6,2
Ungültige;423.264;0,8;-0,2;279.141;0,6;-0,3
Gültige;49.505.389;99,2;+0,2;49.649.512;99,4;+0,3
SPD;9.936.433;20,1;-6,3;8.149.124;16,4;-9,3
CDU;12.604.184;25,5;+2,9;11.196.374;22,6;+3,6
GRÜNE;5.443.393;11,0;-2,9;5.762.380;11,6;-3,1
FDP;1.622.912;3,3;-5,4;2.148.757;4,3;-7,1
AfD;10.177.318;20,6;+10,4;10.328.780;20,8;+10,4
CSU;3.272.064;6,6;+0,6;2.964.028;6,0;+0,8
Die Linke;3.933.297;7,9;+3,0;4.356.532;8,8;+3,9
FREIE WÄHLER;1.254.565;2,5;-0,3;769.279;1,5;-0,9
Tierschutzpartei;82.498;0,2;-0,2;482.201;1,0;-0,5
dieBasis;41.923;0,1;-1,5;85.373;0,2;-1,2
Die PARTEI;122.268;0,2;-0,9;242.741;0,5;-0,5
Team Todenhöfer;9.783;0,0;±0,0;24.553;0,0;-0,4
PIRATEN;2.151;0,0;-0,1;13.800;0,0;-0,3
Volt;391.666;0,8;+0,6;355.262;0,7;+0,4
ÖDP;54.606;0,1;-0,2;49.764;0,1;-0,1
SSW;58.779;0,1;±0,0;76.138;0,2;±0,0
Verjüngungsforschung;-;-;±0,0;303;0,0;-0,1
PdH;1.871;0,0;±0,0;14.294;0,0;-0,1
Bündnis C;2.021;0,0;±0,0;11.768;0,0;-0,1
BP;5.763;0,0;-0,1;12.278;0,0;±0,0
MLPD;24.218;0,0;±0,0;19.551;0,0;±0,0
MENSCHLICHE WELT;-;-;±0,0;694;0,0;±0,0
PdF;1.282;0,0;-;21.388;0,0;±0,0
SGP;73;0,0;-;425;0,0;±0,0
BüSo;1.295;0,0;±0,0;676;0,0;±0,0
BÜNDNIS DEUTSCHLAND;87.955;0,2;-;76.372;0,2;-
BSW;299.401;0,6;-;2.472.947;4,981;-
MERA25;658;0,0;-;6.994;0,0;-
WerteUnion;2.849;0,0;-;6.736;0,0;-
Übrige;70.163;0,1;-0,2;-;-;-0,5
