timestamp,views
01.02.2018,58
01.03.2018,115
01.04.2018,1073
01.05.2018,647
01.06.2018,521
01.07.2018,710
01.08.2018,844
01.09.2018,864
01.10.2018,905
01.11.2018,903
01.12.2018,989
01.01.2019,1206
01.02.2019,822
01.03.2019,533
01.04.2019,598
01.05.2019,786
01.06.2019,551
01.07.2019,469
01.08.2019,426
01.09.2019,941
01.10.2019,610
01.11.2019,518
01.12.2019,463
01.01.2020,2361
01.02.2020,1815
01.03.2020,1836
01.04.2020,1025
01.05.2020,1061
01.06.2020,863
01.07.2020,526
01.08.2020,456
01.09.2020,612
01.10.2020,368
01.11.2020,543
01.12.2020,750
01.01.2021,391
01.02.2021,420
01.03.2021,379
01.04.2021,271
01.05.2021,195
01.06.2021,226
01.07.2021,1122
01.08.2021,250
01.09.2021,177
01.10.2021,210
01.11.2021,176
01.12.2021,173
01.01.2022,38914
01.02.2022,63465
01.03.2022,69773
01.04.2022,70106
01.05.2022,81198
01.06.2022,72925
01.07.2022,55460
01.08.2022,57312
01.09.2022,61945
01.10.2022,79897
01.11.2022,75811
01.12.2022,61857
01.01.2023,67606
01.02.2023,59192
01.03.2023,70630
01.04.2023,55680
01.05.2023,60168
01.06.2023,85133
01.07.2023,68298
01.08.2023,66018
01.09.2023,78732
01.10.2023,85864
01.11.2023,75166
01.12.2023,73033
01.01.2024,80214
01.02.2024,62741
01.03.2024,84862
01.04.2024,78297
01.05.2024,79652
01.06.2024,65140
01.07.2024,64276
01.08.2024,67306
01.09.2024,72407
01.10.2024,75410
01.11.2024,69923
01.12.2024,61160
01.01.2025,63079
01.02.2025,50364
01.03.2025,54758
01.04.2025,55109
01.05.2025,52013
01.06.2025,60402
01.07.2025,44202
01.08.2025,1398
